Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Comment,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
134637841,View staff information,staff,1,14-Nov-16,25-Nov-16,feature,1,accepted,12-Nov-16,25-Nov-16,,hao guang,Manager is able to view staff information,https://www.pivotaltracker.com/story/show/134637841,hao guang,,"Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",,Create UI to list multiple staff information in brief,completed,Create UI to display staff information,completed,Code controller to retrieve data from DB,completed,Verify data retrieved,completed,Code search feature for staff,completed
134637597,Add new staff,staff,1,14-Nov-16,25-Nov-16,feature,2,accepted,12-Nov-16,25-Nov-16,,hao guang,Manager should be able to insert new staff information ,https://www.pivotaltracker.com/story/show/134637597,hao guang,,"Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",,Create DB table for staff,completed,Design add staff UI,completed,Add data verification to UI,completed,Code controller to save data to DB,completed,,
134637829,Update staff information,staff,1,14-Nov-16,25-Nov-16,feature,2,accepted,12-Nov-16,25-Nov-16,,hao guang,"As a manager, he should able to update the information about the staff when needed",https://www.pivotaltracker.com/story/show/134637829,hao guang,,"Commit by haoguang
https://github.com/haoguang/process/commit/1613a5bf8f975763809ab8e5bdb08320d05ad769

[#134637597 started][#134637829 started]

1_Developers: Hao Guang, Woon Tzer
2_Time: 10:26
3_Use_case: Add new staff (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",Create UI for update staff,completed,Add data verification to UI,completed,Code controller to retrieve data original from database,completed,Code controller to save new data to database,completed,,
134646029,Delete staff,staff,1,14-Nov-16,25-Nov-16,feature,1,accepted,12-Nov-16,25-Nov-16,,lai woon tzer,Manager should be able to delete the old staff,https://www.pivotaltracker.com/story/show/134646029,hao guang,,"Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",,Add delete button to the display staff list UI,completed,Code controller to delete staff,completed,add confirmation message,completed,,,,
134637525,Register as a new member,member,1,14-Nov-16,25-Nov-16,feature,1,accepted,12-Nov-16,25-Nov-16,,hao guang,Staff can help a new customer to  register as a member,https://www.pivotaltracker.com/story/show/134637525,Kok Seong Wai,,"Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",,Create DB table for member,completed,Design add member UI,completed,Add data verification for data entry,completed,code controller to handle data store into database,completed,,
134637541,Edit member information,member,1,14-Nov-16,25-Nov-16,feature,1,accepted,12-Nov-16,25-Nov-16,,hao guang,the system is able to update member information time to time,https://www.pivotaltracker.com/story/show/134637541,hao guang,Kok Seong Wai,"Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",,Create UI to update member data,completed,add data verification to the ui input,completed,code the controller to retrieve original data form database,completed,code the controller to store data into the database.,completed,,
134637563,View member information,member,1,14-Nov-16,25-Nov-16,feature,1,accepted,12-Nov-16,25-Nov-16,,hao guang,the waiters or manager able to view member information when needed,https://www.pivotaltracker.com/story/show/134637563,Kok Seong Wai,,"Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",,Create UI to enter member id and display member information,completed,Code controller to retrieve data from database,completed,verify the data retrieved is correct,completed,,,,
134646047,Delete member,member,1,14-Nov-16,25-Nov-16,feature,1,accepted,12-Nov-16,25-Nov-16,,Vincent,Higher Management should able delete member who is no longer available,https://www.pivotaltracker.com/story/show/134646047,Vincent,Kok Seong Wai,"Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",,Create UI to delete member,completed,code controller to update the member status,completed,,,,,,
134637505,Add Product Record,product,1,14-Nov-16,25-Nov-16,feature,1,accepted,12-Nov-16,25-Nov-16,,Kok Seong Wai,"As a staff, I should be able to add product such as foods and drinks.",https://www.pivotaltracker.com/story/show/134637505,Kok Seong Wai,,"Commit by haoguang
https://github.com/haoguang/process/commit/1db15df03e89e6a6f13b7109039f858ef344513f

[#134637597 finished][#134637829 finished][#134646029 finished][#134637841 finished][#134637525 started][#134637541 started][#134637563 started][#134646047 started][#134637505 started]

1_Developers: Hao Guang, Woon Tzer 
2_Time: 16:30
3_Use_case: Add new staff, Delete Staff

1_Developers: Seong Wai, Wei Seng 
2_Time: 16:40
3_Use_case: Update staff information, View staff information (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/8690831a73bb9931dd8396b9a801e84d50004ea2

[#134637597 accepted][#134637829 accepted][#134646029 accepted][#134637841 accepted][#134637525 accepted][#134637541 accepted][#134637563 accepted][#134646047 accepted][#134637505 accepted]

1_Developers: Woon Tzer, Hao Guang
2_Time: 17:00
3_Use_case: Register a new member

1_Developers: Wei Seng,Seong Wai
2_Time: 13:30
3_Use_case: Edit member information

1_Developers: Wei Seng
2_Time: 16:30
3_Use_case: Delete Member

1_Developers: Woon Tzer
2_Time: 17:00
3_Use_case: View member information

1_Developers: Hao Guang,Seong Wai
2_Time: 15:20
3_Use_case: Add Product Record (hao guang - Dec 23, 2016)",,Create DB table for product,completed,Design add product UI and data verification,completed,code controller to save data to DB,completed,,,,
134637523,Update Product Record,product,2,28-Nov-16,9-Dec-17,feature,2,accepted,12-Nov-16,9-Dec-16,,Kok Seong Wai,"As a staff, I should be able to update product record such as quantity, status, and etc.",https://www.pivotaltracker.com/story/show/134637523,Kok Seong Wai,,"Commit by haoguang
https://github.com/haoguang/process/commit/341452a5a90e5f6fc098ff9fad1a4dbae460e628

[#134637523 finished][#134637557 finished][#134637529 finished][#136614299 finished][#136615251 started][#136615291 started][#136615341 started][#136615391 started][#134637443 started]

1_Developers: Woon Tzer, Seong Wai, Wei Seng
2_Time: 12:30
3_Use_case: Update product Record

1_Developers: Woon Tzer, Hao Guang
2_Time: 15:00
3_Use_case: View Product Record

1_Developers: Seong Wai, Wei Seng
2_Time: 17:00
3_Use_case: Delete Product

1_Developers: Seong Wai, Hao Guang 
2_Time: 16:30
3_Use_case: View Credit List (hao guang - Dec 23, 2016)","Commit by haoguang
https://github.com/haoguang/process/commit/c7d6a398ea1ff95ce40e54eb7d5df5c21703d794

[#134637523 delivered][#134637557 delivered][#134637529 delivered][#136614299 delivered][#136615251 delivered][#136615291 delivered][#136615341 delivered][#136615391 delivered][#134637443 delivered]

1_Developers: Woon Tzer, Wei Seng
2_Time: 17:00
3_Use_case:Add Table

1_Developers: Woon Tzer, Seong Wai
2_Time: 16:30
3_Use_case: Update Table

1_Developers:Wei Seng
2_Time: 17:30
3_Use_case:Delete Table

1_Developers: Seong Wai, Hao Guang
2_Time: 17:30
3_Use_case: View Table

1_Developers: Woon Tzer, Hao Guang
2_Time: 14:00
3_Use_case: Add Order Record (hao guang - Dec 23, 2016)",,Create UI for update product record and data verification,completed,Code controller to retrieve data original form database,completed,code controller to save new data to database,completed,,,,
